Poll,Date,Sample,Biden,Sanders,Spread
YouGov,3/29 - 3/31,573 LV,55,40,Biden +15
The Hill,3/29 - 3/30,425 RV,54,32,Biden +22
M. Consult,3/23 - 3/29,15101 RV,61,36,Biden +25
Harris,3/24 - 3/26,903 RV,58,32,Biden +26
ABC/WP,3/22 - 3/25,388 RV,55,39,Biden +16
YouGov,3/22 - 3/24,547 LV,57,39,Biden +18
Reuters,3/18 - 3/24,1981 RV,53,34,Biden +19
M. Consult,3/16 - 3/22,16180 LV,60,36,Biden +24
Emerson,3/18 - 3/19,519 RV,54,42,Biden +12
YouGov,3/15 - 3/17,551 LV,57,36,Biden +21
Reuters,3/13 - 3/16,458 RV,48,39,Biden +9
The Hill,3/14 - 3/15,894 RV,55,31,Biden +24
Politico,3/11 - 3/15,8869 LV,58,37,Biden +21
NBC/WSJ,3/11 - 3/13,438 LV,61,32,Biden +29
Politico,3/11 - 3/11,2072 LV,59,35,Biden +24
YouGov,3/8 - 3/10,573 RV,53,38,Biden +15
The Hill,3/8 - 3/9,442 RV,55,28,Biden +27
Reuters,3/6 - 3/9,420 RV,54,33,Biden +21
Quinnipiac,3/5 - 3/8,559 RV,54,35,Biden +19
Politico,3/5 - 3/8,9593 RV,56,38,Biden +18
CNN,3/4 - 3/7,540 RV,52,36,Biden +16
Politico,3/5 - 3/5,1390 LV,54,38,Biden +16
Reuters,3/4 - 3/5,474 RV,45,32,Biden +13
